㓦划	㓦劃
憎恶	憎惡
檀板	檀板
蘑菇云	蘑菇雲
絣扒吊拷	絣扒吊拷
縻系	縻繫
頁面	頁面
叛党	叛黨
句践复国	句踐復國
叨念	叨唸
吗啡针	嗎啡針
吠舍	吠舍
吨公里	噸公里
吼出	吼出
午后	午後
卑梁之衅	卑梁之釁
卦千纸	卦千紙
卿云	卿雲
夕烟	夕煙
夭折	夭折
央浼营干	央浼營幹
夷坚志	夷堅志
凛栗	凜慄
兀术	兀朮
兔尽狗烹	兔盡狗烹
兜肚断了带子	兜肚斷了帶子
具体计划	具體計劃
兹核	茲核
刓团	刓團
则个	則個
刨出来	刨出來
刬恶除奸	剗惡除奸
幅面	幅面
幡布	幡布
囿于	囿於
囓合	囓合
帅呆了	帥呆了
帐面	帳面
帷薄不修	帷薄不修
帽帘	帽簾
彤云	彤雲
彻里彻外	徹裏徹外
尧布	堯布
尨眉皓发	尨眉皓髮
冈田准	岡田准
冗余	冗餘
冤仇	冤仇
冻僵	凍僵
弈秋	弈秋
弋获	弋獲
弼针	弼針
忆念	憶念
忌烟	忌菸
忏悔录	懺悔錄
忒恶	忒惡
忖前思后	忖前思後
忿发	忿發
径向	徑向
徜徉于	徜徉於
徯幸	徯倖
徼幸	徼倖
呕出物	嘔出物
呗赞	唄讚
员山庄	員山莊
呛了	嗆了
呜咽	嗚咽
呱嗒板儿	呱嗒板兒
奈向	奈向
奢念	奢念
奧克拉荷马州	奧克拉荷馬州
宫里	宮裏
宅舍	宅舍
宠幸	寵幸
宦游	宦遊
宪台	憲臺
宰制	宰制
宴游	宴遊
宵征	宵征
厅舍	廳舍
厓谷	厓谷
厝薪于火	厝薪於火
厥后	厥後
倍日并行	倍日並行
候虫	候蟲
倛丑	倛醜
倡条冶叶	倡條冶葉
倮虫	倮蟲
巅崖峻谷	巔崖峻谷
巉岩	巉巖
巍巍荡荡	巍巍蕩蕩
巷里	巷裏
巾帼须眉	巾幗鬚眉
圭表	圭表
励志	勵志
务须	務須
努瓦克肖特	努瓦克肖特
